Source;Target;Type;Label;Weight
[H]Las Vegas;[C]Miami;directed;62.98;1.0017915457700404
[H]Chicago;[C]Moscow;directed;263.2;1.0074870569494225
[H]Dania Beach;[C]Moscow;directed;93.06;1.002647209421403
[H]Grand Canyon;[C]Moscow;directed;1693.88;1.048184559367355
[H]Portland;[C]Moscow;directed;87.42;1.0024867724867725
[H]Miami Beach;[C]Orlando;directed;358.68;1.0102031063321386
[H]Williams;[C]Orlando;directed;86.24;1.002453205894066
[H]Winter Haven;[C]Orlando;directed;274.4;1.007805655117483
[H]Las Vegas;[C]Port of Spain;directed;348.38;1.009910109802583
[H]Baltimore;[C]San Francisco;directed;98.18;1.0027928542982307
[H]Garden Grove;[C]San Francisco;directed;95.37;1.0027129202935654
[H]Hanover;[C]San Francisco;directed;370.28;1.0105330830062014
[H]La Jolla;[C]San Francisco;directed;118.75;1.0033779939693919
[H]Las Vegas;[C]San Francisco;directed;1390.58;1.0395568071912158
[H]Miami Beach;[C]San Francisco;directed;92.57;1.0026332707515504
[H]Mount Charleston;[C]San Francisco;directed;308.55;1.0087770950674178
[H]Newark;[C]San Francisco;directed;102.85;1.002925698355806
[H]North Las Vegas;[C]San Francisco;directed;686.37;1.0195246629117596
[H]Oahu, Honolulu;[C]San Francisco;directed;1013.54;1.028831427433578
[H]Old Greenwich;[C]San Francisco;directed;508.64;1.014468908232349
[H]Orlando;[C]San Francisco;directed;222.54;1.0063304318143027
[H]Primm;[C]San Francisco;directed;57.98;1.0016493144450134
[H]Punta Gorda;[C]San Francisco;directed;463.76;1.0131922398589066
[H]Rancho Mirage;[C]San Francisco;directed;92.57;1.0026332707515504
[H]Ridgecrest;[C]San Francisco;directed;1496.0;1.0425556124480855
[H]Saint Louis;[C]San Francisco;directed;72.0;1.002048131080389
[H]Tempe;[C]San Francisco;directed;597.51;1.0169969278033795
[H]Towson;[C]San Francisco;directed;73.87;1.0021013255959492
[H]Yakima;[C]San Francisco;directed;86.96;1.00247368720487
[H]Grand Canyon;[C]Singapore;directed;98.58;1.0028042328042328
[H]Las Vegas;[C]Singapore;directed;141.36;1.004021164021164
[H]Orange;[C]Singapore;directed;81.84;1.0023280423280423
[H]Pasadena;[C]Singapore;directed;297.6;1.0084656084656085
[H]Rosemont;[C]Singapore;directed;535.68;1.0152380952380953
[H]Mount Laurel;[C]Barbados;directed;119.04;1.0033862433862435
[H]Las Vegas;[C]Coral Gables;directed;46.55;1.0013241736360017
[H]Breckenridge;[C]Dhaka;directed;1370.52;1.0389861751152074
[H]Las Vegas;[C]Dorset;directed;782.08;1.022247254935427
[H]Miami Beach;[C]Dorset;directed;7461.72;1.2122580645161292
[H]New York;[C]Dorset;directed;84.46;1.0024025715423566
[H]Miami;[C]Dublin;directed;71.44;1.0020322011719862
[H]Las Vegas;[C]Grapevine;directed;326.16;1.009278033794163
[H]Miami Beach;[C]Grapevine;directed;1822.95;1.0518561187916027
[H]Milwaukee;[C]Hong Kong Sar;directed;70.84;1.002015133412983
[H]Salt Lake City;[C]Hong Kong Sar;directed;91.08;1.0025908858166923
[H]Las Vegas;[C]Las Vegas;directed;0.0;1.0
[H]Albuquerque;[C]Meads Bay;directed;103.79;1.002952437844911
[H]Brentwood;[C]Meads Bay;directed;99.91;1.00284206633669
[H]Dover;[C]Meads Bay;directed;512.16;1.014569039085168
[H]Forsyth;[C]Meads Bay;directed;152.29;1.004332081697673
[H]Long Beach;[C]Meads Bay;directed;174.6;1.0049667178699437
[H]Los Angeles;[C]Meads Bay;directed;113.49;1.0032283666154633
[H]Naples;[C]Meads Bay;directed;278.39;1.0079191557148546
[H]Paramus;[C]Meads Bay;directed;97.97;1.0027868805825795
[H]Philadelphia;[C]Meads Bay;directed;116.4;1.003311145246629
[H]San Antonio;[C]Meads Bay;directed;99.91;1.00284206633669
[H]St. Louis;[C]Meads Bay;directed;759.51;1.021605222734255
[H]Washington D.C.;[C]Meads Bay;directed;1222.2;1.0347670250896057
[H]San Diego;[C]Montreal;directed;736.02;1.020937019969278
[H]Grand Canyon;[C]Moscow;directed;99.64;1.0028343858451385
[H]Pigeon Forge;[C]Moscow;directed;34.78;1.000989361096888
[H]Seattle;[C]Moscow;directed;62.04;1.0017648062809352
[H]Chattanooga;[C]Orlando;directed;105.84;1.003010752688172
[H]Grand Canyon;[C]Orlando;directed;393.28;1.0111873471013255
[H]Las Vegas;[C]Orlando;directed;231.68;1.0065904306764522
